,Iter,Val Start,Val End,Model Used,A2C Sharpe,PPO Sharpe,DDPG Sharpe,SAC Sharpe,TD3 Sharpe
0,126,2019-01-02,2019-04-08,TD3,0.08679592981291369,0.21783763462037894,0.22101250028337463,0.13737633753278666,0.28154677533353756
1,189,2019-04-08,2019-07-10,DDPG,-0.03728125754507075,-0.09689893447155637,0.007466154163903664,-0.04793254562304962,-0.044845945171828924
2,252,2019-07-10,2019-10-08,DDPG,-0.1370621345660663,-0.11647155141389068,0.19733283049234324,0.114196718011289,0.10641485401827333
3,315,2019-10-08,2020-01-06,TD3,-0.16617746034199946,-0.3076429517142701,-0.3849594012559121,-0.3968567644056206,-0.1185567721931035
4,378,2020-01-06,2020-04-10,PPO,-0.4000155526750085,-0.35013506123807314,-0.42396404717858965,-0.4026706345663042,-0.39672947487996174
5,441,2020-04-10,2020-07-10,DDPG,0.4913467445666435,0.16594622135055398,0.5159354441059802,0.23787955588409604,0.2509309808893008
6,504,2020-07-10,2020-10-08,DDPG,0.6081935069226995,0.5320397873516167,0.6891155500016342,0.6827946934541002,0.4930065159084058
7,567,2020-10-08,2021-01-06,A2C,0.9188072594688057,0.6945009871249258,0.6369875240721478,0.7759842652609956,0.8664644154456482
8,630,2021-01-06,2021-04-12,PPO,0.04655991518929239,0.20884310750486162,0.15753987254429785,0.20316439757362534,0.04949731074379177
9,693,2021-04-12,2021-07-13,SAC,-0.09953979576991331,-0.1265857891645039,-0.19209091422822583,-0.061281379844835955,-0.30105180195534476
10,756,2021-07-13,2021-10-12,PPO,0.174302432085529,0.41341745375983946,0.33986453946514983,0.27639497233393495,0.3350092473488217
11,819,2021-10-12,2022-01-10,SAC,0.5699317424433732,0.40655577302770923,0.5256298138421268,0.6848617794243612,0.6166246078836728
12,882,2022-01-10,2022-04-15,DDPG,-0.0833516375006768,-0.07407003388358,0.018222567606318223,-0.05813066602808401,0.010169142766219996
13,945,2022-04-15,2022-07-15,TD3,-0.576974372585398,-0.6039453484823085,-0.5302871588427648,-0.5625901253427096,-0.5269700151126173
14,1008,2022-07-15,2022-10-14,A2C,-0.343114008667296,-0.551058552013224,-0.47601727169377656,-0.39772904742452936,-0.410716644946604
15,1071,2022-10-14,2023-01-12,DDPG,-0.004789159026928494,-0.0831424718668239,0.08328761562167343,-0.026122256289849516,0.020455817757235834
16,1134,2023-01-12,2023-04-18,SAC,-0.028321284734770753,-0.22538959208886528,-0.022827915875294213,0.0026172281135746446,-0.0021550771460887826
17,1197,2023-04-18,2023-07-19,PPO,0.4880483746510655,0.6837785467290003,0.5648075316338909,0.6069855157632283,0.6428838837389397
18,1260,2023-07-19,2023-10-18,PPO,-0.07370265139991325,-0.038439378150831365,-0.14150734996531272,-0.19543513963988976,-0.20399378461544762
